Row ID,Order Date,Ship Mode,Segment,Category,Sales,Quantity,Discount,Profit,Shipping Cost
48,3/1/2011,Standard Class,Consumer,Furniture,196.74,1,0,86.55,12.33
49,3/1/2011,Standard Class,Consumer,Office Supplies,117.504,3,0.2,36.684,11.43
50,3/1/2011,Standard Class,Consumer,Office Supplies,137.352,3,0.2,8.5845,8.49
51,3/1/2011,Same Day,Home Office,Office Supplies,98.94,2,0,15.78,8.42
52,3/1/2011,Standard Class,Consumer,Office Supplies,63.36,3,0.2,23.76,8.22
53,3/1/2011,Standard Class,Consumer,Office Supplies,129.552,3,0.2,-22.6716,8
54,3/1/2011,Standard Class,Consumer,Furniture,63.552,6,0.6,-34.9536,7.38
55,3/1/2011,Standard Class,Consumer,Technology,221.16,2,0,15.48,6.87
56,3/1/2011,First Class,Consumer,Office Supplies,30.48,1,0,2.73,6.7
57,3/1/2011,Second Class,Home Office,Technology,46.53,1,0,12.54,6.09
58,3/1/2011,First Class,Consumer,Office Supplies,24.354,1,0.1,8.904,5.44
59,3/1/2011,Standard Class,Consumer,Office Supplies,23.868,3,0.4,-7.632,3.9
60,3/1/2011,Standard Class,Consumer,Office Supplies,61.74,6,0,17.82,3.73
61,3/1/2011,Standard Class,Corporate,Office Supplies,37.08,3,0,10.35,3.55
62,3/1/2011,Second Class,Home Office,Office Supplies,146.52,12,0,0,3.35
63,3/1/2011,Second Class,Home Office,Office Supplies,102.438,2,0.1,35.238,3.3
64,3/1/2011,First Class,Consumer,Office Supplies,12.36,1,0,2.46,3.1
65,3/1/2011,First Class,Consumer,Office Supplies,11.76,1,0,5.64,2.24
66,3/1/2011,Standard Class,Consumer,Furniture,48.45,1,0,12.09,2.21
67,3/1/2011,Standard Class,Consumer,Office Supplies,18.84,5,0.2,-3.5325,2.05
68,3/1/2011,Standard Class,Home Office,Office Supplies,17.472,3,0.2,5.6784,1.94
69,3/1/2011,Same Day,Home Office,Office Supplies,13.32,2,0,5.46,1.94
70,3/1/2011,Standard Class,Consumer,Office Supplies,16.53,1,0,7.41,1.14
71,3/1/2011,First Class,Consumer,Office Supplies,12.636,2,0.1,-1.164,1.05
72,3/1/2011,Standard Class,Consumer,Office Supplies,21.546,6,0.1,4.266,1.02
73,3/1/2011,Standard Class,Consumer,Office Supplies,17.82,2,0,3.18,0.97
74,3/1/2011,Standard Class,Consumer,Office Supplies,31.14,2,0,14.28,0.81
75,3/1/2011,Standard Class,Corporate,Office Supplies,25.317,1,0.7,-28.713,0.79
76,3/1/2011,Standard Class,Home Office,Technology,5.94,3,0,1.6038,0.42
77,4/1/2011,First Class,Corporate,Technology,496.584,6,0.4,-289.836,122.65
78,4/1/2011,First Class,Consumer,Office Supplies,295.92,6,0,32.4,71.22
79,4/1/2011,Standard Class,Corporate,Furniture,567.6,5,0.2,0,49.7
80,4/1/2011,First Class,Consumer,Office Supplies,157.95,3,0,69.48,21.83
81,4/1/2011,Second Class,Corporate,Technology,138.696,2,0.4,-25.464,20.4
82,4/1/2011,Standard Class,Home Office,Office Supplies,83.691,2,0.15,30.471,17.47
83,4/1/2011,Second Class,Corporate,Office Supplies,85.536,4,0.4,-47.104,11.56
84,4/1/2011,First Class,Consumer,Technology,123.12,3,0,50.4,11.19
85,4/1/2011,Second Class,Corporate,Technology,80.064,2,0.4,-53.376,7.56
86,4/1/2011,Standard Class,Consumer,Technology,47.56,1,0,10.92,6
87,4/1/2011,Second Class,Corporate,Furniture,67.608,3,0.4,-29.352,5.65
88,4/1/2011,Second Class,Corporate,Office Supplies,121.5,5,0.4,-48.6,5.41
89,4/1/2011,Second Class,Corporate,Office Supplies,44.94,5,0.4,0.74,5.41
90,4/1/2011,Second Class,Corporate,Furniture,20.112,2,0.4,-1.688,3.66
91,4/1/2011,Standard Class,Corporate,Office Supplies,43.8,5,0.5,-13.2,3.05
92,4/1/2011,Second Class,Consumer,Office Supplies,29.6,2,0,14.8,3.01
93,4/1/2011,Standard Class,Home Office,Office Supplies,25.344,2,0.45,-6.036,2.99
94,4/1/2011,Standard Class,Consumer,Office Supplies,17.8,5,0,0.5,1.96
95,4/1/2011,Standard Class,Corporate,Office Supplies,66.96,4,0,2.6784,1.57
96,4/1/2011,Second Class,Corporate,Office Supplies,10.944,4,0.4,-3.136,1.37
97,4/1/2011,Standard Class,Consumer,Office Supplies,15.28,2,0,1.96,1.2
98,4/1/2011,Second Class,Consumer,Office Supplies,17.088,4,0.2,5.5536,0.65
99,4/1/2011,Standard Class,Corporate,Office Supplies,6.24,2,0,3.0576,0.34
100,4/1/2011,Standard Class,Corporate,Office Supplies,10.08,4,0.5,-9.12,0.32
101,4/1/2011,Second Class,Corporate,Office Supplies,8.784,3,0.4,-4.836,0.32
102,6/1/2011,First Class,Home Office,Furniture,1037.7096,8,0.27,298.5096,202.94
103,6/1/2011,Standard Class,Corporate,Furniture,1029.375,5,0.5,-247.125,141.5
104,6/1/2011,Second Class,Home Office,Office Supplies,1503.25,5,0,496.0725,120.84
105,6/1/2011,Standard Class,Consumer,Technology,881.93,7,0,229.3018,112.32
106,6/1/2011,Second Class,Home Office,Furniture,2001.86,7,0,580.5394,81.39
107,6/1/2011,Second Class,Corporate,Technology,805.56,14,0,185.22,80.12
108,6/1/2011,Standard Class,Corporate,Furniture,482.48,2,0,130.24,66.7
109,6/1/2011,Second Class,Corporate,Technology,449.64,4,0,58.44,64.21
110,6/1/2011,Standard Class,Corporate,Technology,389.48,7,0,23.24,40.18
111,6/1/2011,Second Class,Corporate,Office Supplies,512.19,9,0,209.79,36.17
112,6/1/2011,First Class,Home Office,Technology,222.56,2,0,109.04,34.93
113,6/1/2011,Same Day,Home Office,Office Supplies,90.3,5,0,31.6,27.41
114,6/1/2011,Standard Class,Corporate,Technology,211.803,2,0.15,69.723,23.66
115,6/1/2011,Same Day,Consumer,Office Supplies,109.104,2,0.6,-106.416,17.97
116,6/1/2011,Standard Class,Consumer,Office Supplies,140.4,6,0,8.28,16.57
117,6/1/2011,First Class,Corporate,Technology,50.8,2,0,22.32,15.18
118,6/1/2011,Standard Class,Home Office,Office Supplies,289.2,6,0,83.868,14.33
119,6/1/2011,Standard Class,Home Office,Office Supplies,102.54,2,0,35.88,13.91
120,6/1/2011,Standard Class,Corporate,Office Supplies,138.56,4,0,66.5088,11.26
121,6/1/2011,First Class,Consumer,Office Supplies,58.104,2,0.4,6.744,10.37
122,6/1/2011,Standard Class,Consumer,Office Supplies,57.6,2,0,25.92,8.58
123,6/1/2011,Second Class,Home Office,Office Supplies,166.72,2,0,41.68,8.11
124,6/1/2011,Standard Class,Consumer,Technology,58.83,1,0,6.45,7.4
125,6/1/2011,Standard Class,Consumer,Office Supplies,48.48,1,0,6.3,6.03
126,6/1/2011,Standard Class,Corporate,Office Supplies,65.52,5,0.1,12.376,5.8
127,6/1/2011,First Class,Home Office,Furniture,214.3791,3,0.27,35.1891,5.64
128,6/1/2011,Second Class,Home Office,Office Supplies,47.88,6,0,23.94,4.27
129,6/1/2011,Standard Class,Corporate,Office Supplies,62.7,5,0,9.9,4.18
130,6/1/2011,Same Day,Consumer,Office Supplies,12.72,4,0.6,-18.48,3.99
131,6/1/2011,Same Day,Consumer,Office Supplies,10.116,1,0.6,-10.644,3.8
132,6/1/2011,Same Day,Consumer,Office Supplies,20.712,1,0.6,-11.928,3.49
133,6/1/2011,Standard Class,Corporate,Office Supplies,27.99,2,0.5,-9.57,3.2
134,6/1/2011,Standard Class,Consumer,Furniture,22.2,6,0,9.102,2.68
135,6/1/2011,Second Class,Home Office,Office Supplies,25.92,4,0,12.4416,2.51
136,6/1/2011,Standard Class,Corporate,Office Supplies,25.23,1,0.5,-5.58,1.97
137,6/1/2011,First Class,Corporate,Office Supplies,22.14,2,0,6.84,1.62
138,6/1/2011,Second Class,Consumer,Office Supplies,21.18,2,0,5.88,1.56
139,6/1/2011,Standard Class,Home Office,Office Supplies,45.48,3,0,20.9208,1.35
140,6/1/2011,Second Class,Consumer,Office Supplies,10.86,1,0,4.32,0.74
141,6/1/2011,Standard Class,Consumer,Office Supplies,6.99,1,0,3.42,0.68
142,7/1/2011,Second Class,Home Office,Furniture,1888.236,6,0.3,-161.964,162.45
143,7/1/2011,Standard Class,Corporate,Technology,575.92,2,0.2,71.99,93.1
144,7/1/2011,Second Class,Home Office,Furniture,622.86,2,0.3,-62.34,91.18
145,7/1/2011,First Class,Corporate,Office Supplies,138.82,11,0,56.76,30.89
146,7/1/2011,First Class,Corporate,Furniture,463.44,4,0,120.48,30.14
147,7/1/2011,First Class,Corporate,Office Supplies,61.84,2,0,8,16.06
148,7/1/2011,First Class,Consumer,Office Supplies,34.02,2,0,14.28,11.12
149,7/1/2011,First Class,Corporate,Furniture,29.268,2,0.7,-55.632,10.35
150,7/1/2011,Second Class,Corporate,Office Supplies,19.92,5,0.2,6.972,1.44
151,7/1/2011,First Class,Corporate,Office Supplies,5.148,2,0.7,-9.312,1.19
152,7/1/2011,Standard Class,Corporate,Office Supplies,5.184,6,0.7,-3.6288,0.69
153,8/1/2011,First Class,Consumer,Technology,1157.58,6,0,254.52,184.92
154,8/1/2011,First Class,Consumer,Technology,516.96,3,0,165.42,133.56
155,8/1/2011,Standard Class,Consumer,Furniture,1503.744,8,0.6,-1842.096,126.17
156,8/1/2011,Standard Class,Consumer,Furniture,922.86,2,0,9.18,69.1
157,8/1/2011,Standard Class,Consumer,Furniture,270.378,3,0.1,75.078,26.31
158,8/1/2011,Second Class,Home Office,Technology,217.2,5,0,21.6,25.25
159,8/1/2011,Standard Class,Consumer,Office Supplies,248.64,4,0,19.8,24.81
160,8/1/2011,First Class,Consumer,Office Supplies,99.48,2,0,23.82,22.71
161,8/1/2011,Standard Class,Consumer,Office Supplies,279.21,1,0,0,16.58
162,8/1/2011,Second Class,Home Office,Office Supplies,99.252,2,0.1,9.912,15.5
163,8/1/2011,Second Class,Corporate,Office Supplies,40.158,2,0.7,-89.742,11.29
164,8/1/2011,Second Class,Home Office,Office Supplies,80.43,7,0,0.63,11.28
165,8/1/2011,First Class,Consumer,Office Supplies,52.47,3,0,11.52,10.31
166,8/1/2011,Standard Class,Consumer,Furniture,253.3635,1,0.35,-35.0865,10
167,8/1/2011,Standard Class,Consumer,Office Supplies,196.02,6,0,90,9.99
168,8/1/2011,Second Class,Home Office,Office Supplies,53.4,2,0,14.94,8.6
169,8/1/2011,Standard Class,Consumer,Office Supplies,90.234,6,0.7,-147.546,8.11
170,8/1/2011,Second Class,Corporate,Office Supplies,38.367,1,0.7,-74.193,8.04
171,8/1/2011,Standard Class,Consumer,Furniture,85.02,2,0,13.56,7.64
172,8/1/2011,Standard Class,Consumer,Technology,102.762,4,0.45,1.842,7.42
173,8/1/2011,Standard Class,Corporate,Office Supplies,78.304,2,0.2,29.364,7.09
174,8/1/2011,Standard Class,Corporate,Office Supplies,62.92,1,0.2,10.2245,5.62
175,8/1/2011,Standard Class,Consumer,Office Supplies,40.704,4,0.6,-51.936,5.39
176,8/1/2011,Standard Class,Corporate,Furniture,44.128,4,0.2,12.1352,4.31
177,8/1/2011,Standard Class,Corporate,Technology,44.088,1,0.6,-46.302,4.17
178,8/1/2011,First Class,Consumer,Office Supplies,19.752,3,0.2,6.9132,3.23
179,8/1/2011,Standard Class,Consumer,Office Supplies,24,2,0,0.96,2.39
180,8/1/2011,Second Class,Corporate,Office Supplies,8.973,1,0.7,-8.997,2.07
181,8/1/2011,Standard Class,Consumer,Office Supplies,24.651,3,0.45,-19.359,1.94
182,8/1/2011,Standard Class,Corporate,Office Supplies,13.26,1,0,6.09,1.26
183,8/1/2011,Second Class,Corporate,Office Supplies,3.321,1,0.7,-4.329,1.14
184,8/1/2011,Standard Class,Consumer,Office Supplies,13.38,1,0,3.21,1.11
185,8/1/2011,Standard Class,Consumer,Office Supplies,11.73,1,0,5.37,1.08
186,8/1/2011,Standard Class,Corporate,Technology,16.116,1,0.6,-19.344,0.97
187,8/1/2011,Standard Class,Corporate,Office Supplies,17.544,3,0.2,5.9211,0.93
188,8/1/2011,Standard Class,Corporate,Office Supplies,13.14,2,0,5.22,0.83
189,8/1/2011,Standard Class,Consumer,Office Supplies,10.416,1,0.6,-6.774,0.81
190,8/1/2011,Standard Class,Home Office,Office Supplies,5.68,2,0.2,1.917,0.77
191,8/1/2011,Standard Class,Consumer,Office Supplies,7.884,1,0.6,-10.656,0.72
192,8/1/2011,Second Class,Corporate,Office Supplies,1.602,1,0.7,-1.578,0.25
193,9/1/2011,Standard Class,Consumer,Office Supplies,1429.05,7,0,371.49,194.36
194,9/1/2011,Second Class,Consumer,Technology,1232.88,4,0,135.6,150.43
195,9/1/2011,Standard Class,Consumer,Office Supplies,767.52,6,0,45.9,102.29
196,9/1/2011,Standard Class,Consumer,Technology,1100.16,6,0,175.86,92.07
197,9/1/2011,First Class,Consumer,Office Supplies,182.88,9,0,3.6,44.76
198,9/1/2011,Standard Class,Consumer,Furniture,473.61,1,0,142.08,42.96
199,9/1/2011,First Class,Corporate,Office Supplies,243,4,0,119.04,41.83
200,9/1/2011,Standard Class,Consumer,Technology,357,3,0,57.12,31.59
201,9/1/2011,Second Class,Corporate,Technology,137.94,1,0,6.87,17.43
202,9/1/2011,Second Class,Home Office,Furniture,348.36,2,0.4,5.8,16.6
203,9/1/2011,Second Class,Home Office,Furniture,185.568,1,0.4,-6.192,15.67
204,9/1/2011,Standard Class,Consumer,Furniture,87.9,2,0,21.96,15.25
205,9/1/2011,Standard Class,Corporate,Office Supplies,125.22,3,0,40.02,11.55
206,9/1/2011,Standard Class,Corporate,Office Supplies,77.5,5,0,3.8,10.55
207,9/1/2011,First Class,Consumer,Office Supplies,31.104,6,0.2,10.8864,9.9
208,9/1/2011,Standard Class,Home Office,Office Supplies,100.68,2,0,6,7.53
209,9/1/2011,Standard Class,Corporate,Office Supplies,44.28,3,0,0.42,4.64
210,9/1/2011,First Class,Consumer,Office Supplies,64.35,3,0.45,-32.76,3.1
211,9/1/2011,Standard Class,Home Office,Office Supplies,37.08,4,0,16.2,2.88
212,9/1/2011,First Class,Home Office,Office Supplies,60.54,2,0,20.58,2.51
213,9/1/2011,Standard Class,Consumer,Office Supplies,24,1,0,2.88,2.51
214,9/1/2011,Standard Class,Consumer,Office Supplies,23.744,2,0.2,8.3104,2.37
215,9/1/2011,Second Class,Consumer,Office Supplies,53.94,3,0,15.6426,1.8
216,9/1/2011,Standard Class,Corporate,Office Supplies,19.3,1,0,3.66,1.54
217,9/1/2011,Second Class,Corporate,Office Supplies,21.42,3,0,5.31,1.27
218,9/1/2011,Second Class,Corporate,Office Supplies,18.24,4,0,6.48,1.02
219,9/1/2011,First Class,Consumer,Office Supplies,3.648,3,0.8,-6.0192,0.7
220,10/1/2011,Standard Class,Corporate,Technology,1016.64,4,0,406.56,93.04
221,10/1/2011,Standard Class,Consumer,Technology,231.97512,2,0.002,43.69512,17.81
222,10/1/2011,Standard Class,Consumer,Office Supplies,103.56,2,0,18.6,14.05
223,10/1/2011,Standard Class,Consumer,Office Supplies,104.76,6,0,3.06,13.17
224,10/1/2011,Standard Class,Corporate,Office Supplies,66.42,1,0,0.66,5.85
225,10/1/2011,Standard Class,Corporate,Office Supplies,52.332,7,0.4,-34.048,3.74
226,10/1/2011,Standard Class,Consumer,Office Supplies,22,2,0,3.08,2.72
227,10/1/2011,Standard Class,Corporate,Office Supplies,12.9,2,0,4.98,1.95
228,10/1/2011,Standard Class,Consumer,Office Supplies,8.91,1,0,1.59,0.99
229,10/1/2011,Standard Class,Home Office,Office Supplies,4.71,1,0,0,0.63
230,11/1/2011,Standard Class,Consumer,Technology,1983.968,4,0.2,247.996,235.13
231,11/1/2011,Same Day,Consumer,Technology,743.13,3,0,230.31,159.19
232,11/1/2011,Second Class,Consumer,Technology,1592.7,5,0,652.95,144.5
233,11/1/2011,First Class,Home Office,Technology,1549.98,6,0,139.32,112.63
234,11/1/2011,First Class,Consumer,Office Supplies,283.26,4,0.5,-181.38,83.34
235,11/1/2011,Second Class,Consumer,Technology,527.16,2,0,131.76,82.29
236,11/1/2011,First Class,Home Office,Office Supplies,593.64,12,0,94.68,67.09
237,11/1/2011,Standard Class,Consumer,Office Supplies,770.22,10,0.4,38.22,63.67
238,11/1/2011,Standard Class,Corporate,Technology,978.84,9,0.2,110.1195,56.8
239,11/1/2011,Standard Class,Consumer,Office Supplies,443.92,5,0.2,-94.333,54.44
240,11/1/2011,Standard Class,Corporate,Furniture,388.608,2,0.2,29.128,53.93
241,11/1/2011,First Class,Consumer,Office Supplies,196.8,8,0.5,-66.96,53.65
242,11/1/2011,Standard Class,Consumer,Furniture,677.4,4,0,60.96,51.03
243,11/1/2011,Standard Class,Consumer,Office Supplies,928.8,5,0.1,361.2,50.61
244,11/1/2011,First Class,Consumer,Office Supplies,121.575,5,0.5,-92.475,49.1
245,11/1/2011,First Class,Consumer,Office Supplies,519.525,5,0.5,-394.875,46.41
246,11/1/2011,First Class,Home Office,Technology,253.98256,2,0.402,-128.29744,43.66
247,11/1/2011,Second Class,Corporate,Technology,200.394,6,0.1,11.034,37.24
248,11/1/2011,Standard Class,Consumer,Technology,588.6,4,0,276.6,33.89
249,11/1/2011,First Class,Consumer,Office Supplies,142.44,4,0.5,-25.68,30.95
250,11/1/2011,Standard Class,Consumer,Office Supplies,533.94,3,0,154.8426,29.73
251,11/1/2011,First Class,Consumer,Office Supplies,82.62,9,0.5,-29.97,28.34
252,11/1/2011,Second Class,Consumer,Technology,266.91,1,0,2.64,26.26
253,11/1/2011,Standard Class,Consumer,Furniture,323.46,6,0,138.96,22.45
254,11/1/2011,Standard Class,Consumer,Office Supplies,494.316,6,0.4,-0.144,22.04
255,11/1/2011,Standard Class,Consumer,Office Supplies,367.524,2,0.1,-16.356,21.79
256,11/1/2011,Standard Class,Consumer,Office Supplies,255.45,5,0,28.05,16.86
257,11/1/2011,Second Class,Consumer,Office Supplies,128.43,1,0,1.26,15.87
258,11/1/2011,First Class,Consumer,Furniture,98.592,2,0.2,22.152,15.39
259,11/1/2011,Same Day,Consumer,Office Supplies,131.94,3,0,10.53,12.58
260,11/1/2011,Standard Class,Consumer,Office Supplies,144.27,3,0,12.96,11.93
261,11/1/2011,Standard Class,Consumer,Office Supplies,160.65,5,0,80.25,11.85
262,11/1/2011,First Class,Consumer,Office Supplies,48.93,2,0.5,-5.91,11.64
263,11/1/2011,Standard Class,Consumer,Office Supplies,112.212,4,0.1,4.932,11.42
264,11/1/2011,Standard Class,Consumer,Office Supplies,147.96,3,0,35.46,10.8
265,11/1/2011,Standard Class,Corporate,Office Supplies,76.12,2,0,22.0748,9.65
266,11/1/2011,Standard Class,Consumer,Technology,125.37,3,0,0,9.25
267,11/1/2011,Standard Class,Home Office,Technology,50.436,1,0.6,-54.234,8.41
268,11/1/2011,Standard Class,Corporate,Office Supplies,69.52,2,0,19.4656,8.21
269,11/1/2011,Standard Class,Consumer,Furniture,94.128,3,0.2,-10.632,7.72
270,11/1/2011,First Class,Corporate,Furniture,68.704,2,0.2,16.3172,7.45
271,11/1/2011,Same Day,Consumer,Office Supplies,47.1,2,0,15.54,6.71
272,11/1/2011,Standard Class,Corporate,Office Supplies,37.32,2,0,4.84,6.4
273,11/1/2011,Standard Class,Consumer,Office Supplies,87.264,2,0.1,2.904,6.26
274,11/1/2011,Second Class,Corporate,Technology,46.41,1,0,23.19,6.08
275,11/1/2011,First Class,Consumer,Technology,47.43,2,0.5,-14.25,4.63
276,11/1/2011,Standard Class,Consumer,Office Supplies,87.48,3,0,25.29,4.47
277,11/1/2011,Standard Class,Consumer,Office Supplies,137.25,5,0,38.4,4.17
278,11/1/2011,Second Class,Home Office,Office Supplies,18.768,2,0.6,-12.252,3.98
279,11/1/2011,First Class,Home Office,Office Supplies,49.344,2,0.4,-23.856,3.96
280,11/1/2011,Standard Class,Corporate,Office Supplies,47.808,12,0.2,15.5376,3.79
281,11/1/2011,Standard Class,Consumer,Technology,155.976,3,0.2,54.5916,3.74
282,11/1/2011,Standard Class,Home Office,Technology,32.508,1,0.6,-8.142,3.56
283,11/1/2011,First Class,Consumer,Office Supplies,10.5,2,0.5,-8.22,3.53
284,11/1/2011,Standard Class,Consumer,Office Supplies,28.62,6,0,12.24,3.24
285,11/1/2011,First Class,Home Office,Office Supplies,28.62,6,0,12.24,2.91
286,11/1/2011,Standard Class,Consumer,Office Supplies,167.94,3,0,82.2906,2.83
287,11/1/2011,First Class,Home Office,Office Supplies,33.18,7,0.4,4.34,2.81
288,11/1/2011,Standard Class,Home Office,Office Supplies,44.4,3,0,22.2,2.77
289,11/1/2011,First Class,Consumer,Office Supplies,8.84,2,0,4.24,2.22
290,11/1/2011,Standard Class,Consumer,Office Supplies,43.176,3,0.2,4.3176,2.12
291,11/1/2011,Standard Class,Corporate,Office Supplies,33.18,2,0,4.92,1.96
292,11/1/2011,Standard Class,Corporate,Office Supplies,28.23,1,0,0,1.94
293,11/1/2011,Standard Class,Consumer,Furniture,31.68,6,0,9.8208,1.9
294,11/1/2011,Standard Class,Corporate,Office Supplies,15.696,3,0.2,5.1012,1.82
295,11/1/2011,Standard Class,Corporate,Office Supplies,15.75,1,0,1.71,1.64
296,11/1/2011,First Class,Corporate,Office Supplies,22.428,3,0.7,-17.9424,1.52
297,11/1/2011,Standard Class,Consumer,Office Supplies,23.64,3,0,3.06,1.51
298,11/1/2011,Standard Class,Home Office,Office Supplies,11.664,1,0.6,-9.066,1.25
299,11/1/2011,Standard Class,Home Office,Office Supplies,6.984,1,0.6,-9.966,1.23
300,11/1/2011,Standard Class,Corporate,Office Supplies,10.272,3,0.2,0.8988,1.21
301,11/1/2011,Standard Class,Home Office,Office Supplies,21.4,5,0,9.63,0.92
302,11/1/2011,Standard Class,Corporate,Office Supplies,5.64,3,0,1.6356,0.75
303,11/1/2011,Standard Class,Home Office,Office Supplies,3.936,1,0.6,-4.254,0.54
304,11/1/2011,Standard Class,Corporate,Office Supplies,7.52,5,0.2,1.41,0.33
305,11/1/2011,First Class,Corporate,Office Supplies,3.132,2,0.7,-2.61,0.1
306,12/1/2011,First Class,Consumer,Furniture,2807.84,8,0,673.8816,487.15
307,12/1/2011,Standard Class,Home Office,Technology,1795.92,7,0,843.99,154.61
308,12/1/2011,Second Class,Consumer,Furniture,909.72,6,0.3,-51.984,133.2
309,12/1/2011,Second Class,Corporate,Furniture,674.058,3,0.3,-19.2588,123.32
310,12/1/2011,Standard Class,Corporate,Furniture,1181.016,4,0.4,-334.704,86.99
311,12/1/2011,Second Class,Home Office,Technology,1894.05,5,0,700.65,80.49
312,12/1/2011,First Class,Corporate,Office Supplies,180.075,7,0.5,-90.195,69.75
313,12/1/2011,First Class,Consumer,Technology,271.9,2,0,78.851,62.54
314,12/1/2011,Second Class,Consumer,Technology,659.988,2,0.4,109.998,60.3
315,12/1/2011,First Class,Consumer,Furniture,219.78,2,0,59.34,36.24
316,12/1/2011,Standard Class,Consumer,Furniture,491,5,0,122.7,35.15
317,12/1/2011,Standard Class,Consumer,Office Supplies,392.445,9,0.1,-43.605,29.72
318,12/1/2011,Second Class,Home Office,Office Supplies,111.888,2,0.1,-2.532,15.6
319,12/1/2011,Standard Class,Consumer,Technology,181.3266,2,0.37,28.7466,15.22
320,12/1/2011,Standard Class,Home Office,Office Supplies,173.61,9,0,10.26,13.58
321,12/1/2011,Second Class,Consumer,Furniture,103.38,2,0,40.26,12.99
322,12/1/2011,Standard Class,Consumer,Furniture,583.8,7,0,186.76,12.32
323,12/1/2011,Standard Class,Consumer,Furniture,220.08,3,0,50.58,12.28
324,12/1/2011,Second Class,Consumer,Office Supplies,102.33,9,0,51.03,11.04
325,12/1/2011,First Class,Consumer,Office Supplies,46.64,4,0,12.5928,8.88
